
Table 1:



Table 2:
Model	PAB-05K	PAB-25K	PAB-50K	PAB-100K
Capacity	1~5 Kg	5~25 Kg	10~50 Kg	10~100 Kg
Speed	Up to 20 Bags/min	Up to 14 Bags/min	Up to 8 Bags/min	Up to 4 Bags/min
Accuracy	+/- 03gm	+/- 10gm	+/- 20gm	+/- 50gm

Table 3:
Model	PAB-05K, PAB-25K, PAB-50K, PAB-100K
Hardware	10 inch Touch Screen, Actuator, F301 Mainboard, 4G Signal Transmitter (Optional)
Structure	Weigher Scale, Measuring Hopper, Electric Cabinet, Discharge Hopper
Filling Mode	Gravity/Stepper Motor
Controller	Touch Screen Bagging Controller
Communication	USB, RS232/485
Value for min. division	1, 2, 5, 10, 20, 50
Accuracy	±20 g up to 50 kg and ±50 g up to 100 kg
Speed	≤900 Bags per Hour
Operating Temperature	0°C~40°C
Operating Humidity	90% R.H Condensation is not allowed
Power	AC 110 ~ 260V.50/60Hz. Approximate 200VA
Material	Food contacting material: SS304 stainless steel, others: SS201
